step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
247;12;15;1;1;1;121338;0;4.62
248;12;16;1;0;2;48236;300;4.62
249;12;16;1;2;2;241098;0;4.62
250;12;17;0;0;0;48236;0;4.62
251;12;18;2;0;0;48236;0;4.62
252;12;19;0;0;0;48236;0;4.62
253;12;20;0;0;0;48236;0;4.62
254;12;21;0;0;0;48236;0;4.62
255;12;22;0;0;2;48236;0;4.62
256;12;23;2;0;2;48236;150;4.62
257;12;23;2;1;2;120527;100;4.62
258;12;23;2;2;2;239728;0;4.62
259;13;13;2;0;0;48236;0;5.62
260;13;14;2;0;1;48236;100;5.62
261;13;14;2;1;1;118564;50;5.62
262;13;14;2;1.1;1;29641;0;5.62
263;13;15;4;0;0;48236;0;5.62
264;13;16;2;0;1;48236;50;5.62
265;13;16;2;1;1;96086;0;5.62
266;13;17;0;0;0;48236;0;5.62
267;13;18;2;0;3;48236;300;5.62
268;13;18;2;3.3;3;330220;0;5.62
269;13;19;3;0;1;48236;133;5.62
270;13;19;3;1;1;122963;33;5.62
271;13;19;3;1.1;1;30741;133;5.62
272;13;19;3;1.2;1;61482;33;5.62
273;13;20;2;0;2;48236;250;5.62
274;13;20;2;1;2;118598;100;5.62
275;13;20;2;2;2;241132;100;5.62
276;13;20;2;2.1;2;149231;0;5.62
277;13;21;2;0;2;48236;250;5.62
278;13;21;2;2;2;239945;100;5.62
279;13;21;2;2.1;2;151062;50;5.62
280;13;21;2;2.2;2;180690;0;5.62
281;13;22;2;0;2;48236;150;5.62
282;13;22;2;1;2;120161;100;5.62
283;13;22;2;2;2;239945;0;5.62
284;13;23;1;0;2;48236;400;5.62
285;13;23;1;1;2;122905;300;5.62
286;13;23;1;2;2;242617;0;5.62
287;13;24;4;1;2;122852;75;5.62
288;13;24;4;2;2;242478;25;5.62
289;13;24;4;2.1;2;152759;50;5.62
290;13;24;4;2.2;2;182665;0;5.62
291;14;18;1;0;11;48236;500;5.19
292;14;23;1;0;2;48236;300;5.19
293;14;23;1;1;2;118805;100;5.19
294;14;23;1;2;2;237374;-100;5.19
295;14;23;1;2.1;2;148447;100;5.19
296;14;23;1;2.2;2;178090;0;5.19
297;14;24;0;0;0;48236;0;5.19
298;14;25;14;0;3;48236;50;5.19
299;14;25;14;1;3;97128;36;5.19
300;14;25;14;2;3;181845;21;5.19
301;14;25;14;3.1;3;202953;21;5.19
302;14;25;14;3.2;3;224061;14;5.19
303;14;25;14;3.4;3;266277;0;5.19
304;15;15;2;0;1;48236;0;4.26
305;15;15;2;1;1;98252;0;4.26
306;15;16;0;0;0;48236;0;4.26
307;15;17;0;0;0;48236;0;4.26
308;15;18;0;0;0;48236;0;4.26
309;15;19;0;0;0;48236;0;4.26
310;15;20;0;0;0;48236;0;4.26
311;15;21;0;0;0;48236;0;4.26
312;15;22;0;0;0;48236;0;4.26
313;15;23;0;0;0;48236;0;4.26
314;15;24;1;0;5;48236;500;4.26
315;15;24;1;1;5;118878;500;4.26
316;15;24;1;2;5;238344;300;4.26
317;15;24;1;4;5;358061;61;4.26
318;15;24;1;5;5;479012;0;4.26
319;15;25;1;0;8;48236;900;4.26
320;15;25;1;1;8;121931;800;4.26
321;15;25;1;2;8;243655;500;4.26
322;15;25;1;4;8;364389;61;4.26
323;15;26;12;0;4;48236;125;4.26
