Date;close;open;high;low;
27.10.2020;8,25;8,25;8,39;8,39;
26.10.2020;8,25;8,38;8,45;8,04;
23.10.2020;8,38;8,38;8,7;8,2;
22.10.2020;8,38;8,63;9,4;8,5;
21.10.2020;8,63;8,25;8,98;8,3;
20.10.2020;7,88;7,88;7,55;7,5;
19.10.2020;7,88;8;7,7;7,7;
16.10.2020;8;8,13;8,19;7,6;
15.10.2020;8,13;8,25;8,01;7,85;
14.10.2020;8,25;7,25;8,5;7,34;
13.10.2020;6,5;6,5;6,5;6,5;
12.10.2020;6,5;6,5;6,75;6,5;
09.10.2020;6,5;6,38;6,3;6,3;
08.10.2020;6,38;6,38;6,25;6,25;
07.10.2020;6,38;6,38;6,38;6,38;
06.10.2020;6,38;6,5;6,4;6,25;
05.10.2020;6,5;6,5;6,5;6,5;
02.10.2020;6,5;6,5;6,5;6,5;
01.10.2020;6,5;6,75;6,51;6,1;
30.09.2020;6,75;6,75;6,75;6,75;
29.09.2020;6,75;6,88;6,6;6,6;
28.09.2020;6,88;7,25;7,13;6,6;
25.09.2020;7,25;7,25;7,18;7,18;
24.09.2020;7,25;7,25;7,2;7,2;
23.09.2020;7,25;7,25;7,3;7,3;
22.09.2020;7,25;7,5;7,3;7;
21.09.2020;7,5;7,5;7,26;7,26;
18.09.2020;7,5;7,75;7,5;7,4;
17.09.2020;7,75;7,75;7,75;7,75;
16.09.2020;7,75;7,75;7,5;7,5;
15.09.2020;7,75;7,75;7,75;7,75;
14.09.2020;7,75;7,75;7,75;7,75;
11.09.2020;7,75;7,75;7,6;7,5;
10.09.2020;7,75;7,75;7,5;7,5;
09.09.2020;7,75;7,75;7,6;7,5;
08.09.2020;7,75;7,75;7,65;7,65;
07.09.2020;7,75;7,75;7,75;7,75;
04.09.2020;7,75;7,75;7,65;7,65;
03.09.2020;7,75;7,75;7,75;7,75;
02.09.2020;7,75;7,75;7,75;7,75;
01.09.2020;7,75;7,75;7,75;7,75;
28.08.2020;7,75;7,38;8;7,25;
27.08.2020;7,38;7,38;7,38;7,38;
26.08.2020;7,38;7,38;7,5;7,44;
25.08.2020;7,38;7,38;7,44;7,44;
