Date,close,open,high,low
43238,78.51,79.46,79.87,78.33
43241,79.22,78.61,79.59,78.1
43242,79.57,79.36,80.49,79.16
43243,79.8,79.47,79.85,78.21
43244,78.79,79.65,79.78,78.57
43245,76.44,78.82,78.88,76.01
43248,75.3,76.11,76.17,74.49
43249,75.39,75.82,76.2,74.54
43250,77.5,75.37,77.73,74.81
43251,77.59,77.37,78.75,77.04
43252,76.79,77.71,77.95,76.35
43255,75.29,76.66,76.95,75.2
43256,75.38,75.4,75.74,73.81
43257,75.36,75.19,76.25,74.46
43258,77.32,75.88,77.45,75.44
43259,76.46,77.39,77.61,76.12
43262,76.46,76.3,76.84,75.52
43263,75.88,76.5,77.07,75.43
43264,76.74,75.4,76.87,75.26
43265,75.94,76.56,76.92,75.76
43266,73.44,75.98,76.06,73
43269,75.34,73.06,75.49,72.45
43270,75.08,75.24,75.55,74.45
43271,74.74,75.2,75.86,74.1
43272,73.05,74.46,74.69,72.93
43273,75.55,73.24,75.83,73.24
43276,74.73,74.8,75.13,73.74
43277,76.31,74.74,76.72,74.13
43278,77.62,76.54,78.16,76.28
43279,77.85,77.5,78.42,77.09
43280,79.44,77.79,79.7,77.45
43283,77.3,78.55,78.95,77.16
43284,77.76,77.4,78.55,76.67
43285,78.24,77.89,78.28,77.61
43286,77.39,78.14,78.5,77.3
43287,77.11,77.57,77.68,76.36
43290,78.07,77.21,78.31,77.04
43291,78.86,78.25,79.51,78.15
43292,73.4,78.78,78.83,73.04
43293,74.45,74.17,75.1,72.67
43294,75.33,74.34,75.93,73.22
43297,71.84,74.92,75.37,71.52
43298,72.16,72.01,72.78,71.35
43299,72.9,71.74,73.28,71.19
43300,72.58,73.06,73.79,71.83
43301,73.07,72.65,73.47,72.26
43304,73.06,73.22,74.5,72.52
43305,73.44,72.91,74,72.68
43306,73.93,73.7,74.6,73.07
43307,74.54,74.37,74.83,73.77
43308,74.29,74.5,74.85,73.83
43311,74.97,74.31,75.27,74.14
43312,74.25,74.93,75.1,74.14
43313,72.39,74.07,74.12,72.13
43314,73.45,72.42,73.75,71.84
43315,73.21,73.37,73.73,72.48
43318,73.75,73.21,74.47,73.08
43319,74.65,73.61,74.9,73.57
43320,72.28,74.64,74.87,71.65
43321,72.07,72.16,72.89,71.86
43322,72.81,71.97,73.14,71.4
43325,72.61,73,73.09,71.04
43326,72.46,72.82,73.93,72.16
43327,70.76,72.22,72.44,70.3
43328,71.43,70.65,71.52,70.4
43329,71.83,71.35,72.49,71.25
43332,72.21,71.77,72.75,71.42
43333,72.63,72.15,72.95,72.05
43334,74.78,72.76,75,72.7
43335,74.73,74.72,74.87,74.21
43336,75.82,74.73,76.42,74.68
43339,76.21,75.54,76.34,75.39
43340,75.95,76.34,76.97,75.73
43341,77.14,75.99,77.42,75.67
43342,77.77,77.33,78.03,77.18
43343,77.42,77.53,77.79,77
43346,78.15,77.69,78.44,77.3
43347,78.17,78.19,79.72,77.44
43348,77.27,77.82,78.09,76.91
43349,76.5,77.02,77.77,75.64
43350,76.83,76.69,77.1,75.88
43353,77.37,77.08,77.92,76.9
43354,79.06,77.38,79.54,77.36
43355,79.74,79.42,80.13,78.75
43356,78.18,79.6,79.71,77.87
43357,78.09,78.45,78.94,77.37
43360,78.05,78.07,78.9,77.73
43361,79.03,77.78,79.73,77.46
43362,79.4,78.97,79.5,78.51
43363,78.7,79.44,79.83,78.51
43364,78.8,78.67,80.12,78.23
43367,81.2,78.97,81.48,78.97
43368,81.87,81.35,82.55,81.17
43369,81.34,81.45,82.22,81.1
43370,81.72,81.8,82.44,81.32
