Price Date;excess %
31/05/2021;2,63
01/06/2021;2,68
02/06/2021;2,68
03/06/2021;2,7
04/06/2021;2,74
05/06/2021;2,74
06/06/2021;2,74
07/06/2021;2,75
08/06/2021;2,74
09/06/2021;2,73
10/06/2021;2,73
11/06/2021;2,77
12/06/2021;2,77
13/06/2021;2,77
14/06/2021;2,8
15/06/2021;2,78
16/06/2021;2,8
17/06/2021;2,8
18/06/2021;2,79
19/06/2021;2,79
20/06/2021;2,79
21/06/2021;2,78
22/06/2021;2,82
23/06/2021;2,83
24/06/2021;2,87
25/06/2021;2,9
26/06/2021;2,9
27/06/2021;2,9
28/06/2021;2,93
29/06/2021;2,94
30/06/2021;2,94
01/07/2021;2,9
02/07/2021;2,92
03/07/2021;2,9
04/07/2021;2,92
05/07/2021;2,92
06/07/2021;2,94
07/07/2021;2,95
08/07/2021;2,95
09/07/2021;2,96
10/07/2021;2,96
11/07/2021;2,96
12/07/2021;2,99
13/07/2021;2,97
14/07/2021;2,97
15/07/2021;2,96
16/07/2021;2,97
17/07/2021;2,97
18/07/2021;2,97
19/07/2021;3
20/07/2021;3,04
21/07/2021;3,09
22/07/2021;3,12
23/07/2021;3,14
24/07/2021;3,14
25/07/2021;3,14
26/07/2021;3,17
27/07/2021;3,14
28/07/2021;3,18
29/07/2021;3,23
30/07/2021;3,22
31/07/2021;3,22
01/08/2021;3,22
02/08/2021;3,25
03/08/2021;3,27
04/08/2021;3,31
05/08/2021;3,3
06/08/2021;3,32
07/08/2021;3,32
08/08/2021;3,32
09/08/2021;3,3
10/08/2021;3,32
11/08/2021;3,34
12/08/2021;3,31
13/08/2021;3,25
14/08/2021;3,25
15/08/2021;3,25
16/08/2021;3,27
17/08/2021;3,24
18/08/2021;3,25
19/08/2021;3,22
20/08/2021;3,23
21/08/2021;3,23
22/08/2021;3,23
23/08/2021;3,27
24/08/2021;3,28
25/08/2021;3,28
26/08/2021;3,34
27/08/2021;3,41
28/08/2021;3,41
29/08/2021;3,41
30/08/2021;3,36
31/08/2021;3,4
01/09/2021;3,47
02/09/2021;3,5
03/09/2021;3,55
04/09/2021;3,55
05/09/2021;3,55
06/09/2021;3,55
07/09/2021;3,55
08/09/2021;3,67
09/09/2021;3,74
10/09/2021;3,77
11/09/2021;3,77
12/09/2021;3,77
13/09/2021;3,84
14/09/2021;3,84
15/09/2021;3,8
16/09/2021;3,72
17/09/2021;3,61
18/09/2021;3,61
19/09/2021;3,61
20/09/2021;3,58
