Price Date;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC
Price Date;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024
19/01/2020;11,127;12,09;11,49;11,96;11,2443205;11,0256795;11,80473264;11,75115324;12,10511412;13,88779663;16,2407706;16,41643278;17,4978353;17,46217617;16,77198853;15,77802222;15,48437189;15,18814929;15,06513338;14,785271;15,2958611;17,60257114;18,71538418;19,0732358;19,32719962;19,2878124;18,52546699;16,71743014;16,40629616;16,09243677;15,9620966;15,6655715;16,20656163;18,65061092;19,82967975;20,20883751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/01/2020;11,411;11,67;11,16;11,96;11,1534369;10,9365631;11,33103386;11,27960448;11,61936166;13,66759695;15,98326305;16,15614;17,0209168;16,98622959;16,31485361;15,36260772;15,07668882;14,78826537;14,6684883;14,39599433;14,89314127;17,13911868;18,22263282;18,57106268;19,21171579;19,17256392;18,41477367;16,6175402;16,30826531;15,99628128;15,86671993;15,57196661;16,10972422;18,53916984;19,71119351;20,08808572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/01/2020;11,836;11,88;11,4;11,96;11,42608769;11,20391231;11,50978812;11,45754741;11,80266447;13,7132481;16,03664876;16,21010314;17,04324065;17,00850794;16,33625141;15,40704741;15,12030142;14,83104365;14,7109201;14,43763788;14,93622292;17,18869732;18,27534576;18,62478353;19,1419897;19,10297993;18,34793997;16,55722929;16,24907686;15,93822514;15,80913401;15,51545046;16,05125636;18,47188466;19,63965464;20,01517898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/01/2020;13,3265;11,79;11,39;11,96;11,00196424;10,78803576;11,23172594;11,1807473;11,51752676;13,45187288;15,7309894;15,90113772;16,86363517;16,82926849;16,16409634;15,38675973;15,10039132;14,81151444;14,69154906;14,4186267;14,91655521;17,16606359;18,25128116;18,6002588;18,94152721;18,90292595;18,15579308;16,38383543;16,07891009;15,77131373;15,6435745;15,35296652;15,88316124;18,27843977;19,4339804;19,80557209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23/01/2020;13,2265;11,91;11,2;10,95;11,18490558;11,04509442;11,55684573;11,45781801;11,83633626;13,27942607;15,09345948;15,42711445;16,98318514;17,02214314;16,19367172;14,72222349;14,71024041;14,44009626;14,51108156;14,27236951;14,65568629;16,90581284;18,18498328;19,15850637;18,95969241;19,00318434;18,07829521;15,84435642;15,83145998;15,54072535;15,61712118;15,36021441;15,77274773;18,1943797;19,57104895;20,61877431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/01/2020;11,7015;12,11;11,22;11,045;11,30314458;11,16185542;11,48820302;11,38976348;11,7660335;13,52591405;15,3736189;15,71346705;16,75380608;16,7922379;15,97495602;14,80521481;14,79316418;14,52149719;14,59288264;14,35282494;14,73830253;17,00111337;18,28749468;19,26650566;18,83850584;18,88171979;17,96274236;15,74308247;15,73026846;15,44139215;15,51729966;15,26203499;15,67193148;18,07808486;19,44595472;20,48698322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/01/2020;11,7015;12,11;11,22;11,045;11,30314458;11,16185542;11,48820302;11,38976348;11,7660335;13,52591405;15,3736189;15,71346705;16,75380608;16,7922379;15,97495602;14,80521481;14,79316418;14,52149719;14,59288264;14,35282494;14,73830253;17,00111337;18,28749468;19,26650566;18,83850584;18,88171979;17,96274236;15,74308247;15,73026846;15,44139215;15,51729966;15,26203499;15,67193148;18,07808486;19,44595472;20,48698322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/01/2020;11,7015;12,11;11,22;11,045;11,30314458;11,16185542;11,48820302;11,38976348;11,7660335;13,52591405;15,3736189;15,71346705;16,75380608;16,7922379;15,97495602;14,80521481;14,79316418;14,52149719;14,59288264;14,35282494;14,73830253;17,00111337;18,28749468;19,26650566;18,83850584;18,88171979;17,96274236;15,74308247;15,73026846;15,44139215;15,51729966;15,26203499;15,67193148;18,07808486;19,44595472;20,48698322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/01/2020;11,1925;11,98;11,26;11,035;11,18742131;11,04757869;11,68517776;11,58505038;11,96777186;13,48407476;15,32606417;15,66486107;16,70914821;16,74747759;15,9323742;14,60678444;14,59489531;14,3268694;14,3972981;14,16045782;14,54076896;16,77325195;18,04239223;19,00828179;18,67474022;18,7175785;17,80658987;15,60622577;15,59352315;15,30715808;15,38240572;15,1293601;15,5356933;17,92092968;19,27690846;20,30888716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/01/2020;10,9435;12,26;11,53;11,188;11,36704395;11,22495605;12,05226703;11,94899416;12,34373881;13,74693463;15,62483196;15,97023341;16,88777969;16,92651884;16,10270147;14,76403115;14,75201404;14,48110274;14,55228962;14,31289969;14,69730499;16,95382138;18,23662436;19,21291203;18,85597418;18,89922819;17,97939863;15,75768051;15,74485462;15,45571045;15,53168835;15,27618698;15,68646355;18,09484808;19,46398632;20,50598014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
